case_id,profile,wall_clock_s,verdict,visible_pois,polyline_segments,error
S03,P-SH-LOCAL,26.8s,PASS,2,2,
S24,P-SH-LOCAL,20.6s,PASS,2,2,
S10,P-BJ-FOOD,49.3s,FAIL,0,0,未能满足以下明确行程需求：继续轻松。已保留其他行程要求，请调整该地点或目标类型后重试。
S02,P-BJ-FOOD,57.9s,FAIL,0,0,路线规划暂时失败：'route_order'
S12,P-SH-LOCAL,29.6s,PASS,2,1,
S06,P-BJ-FOOD,48.7s,PASS,3,3,
S15,P-BJ-ART,185.9s,FAIL,0,0,外部地图服务暂时不稳定，我已按餐饮偏好冲突为你生成可执行的折中建议；具体店铺可稍后再刷新。
S21,P-BJ-ART,76.2s,PASS,2,2,
